#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  24500      1.04e+00      8.62e-03      3.69e-02    7.9e-04
  24600      1.44e+00      1.55e-02      5.12e-02    7.9e-04
  24700      2.20e+00      5.28e-02      7.81e-02    7.9e-04
  24800      9.84e-01      1.12e-02      3.49e-02    7.9e-04
  24900      1.60e+00      2.91e-02      5.66e-02    7.9e-04
  25000      1.56e+00      3.34e-02      5.70e-02    7.5e-04
  25100      1.71e+00      2.73e-02      6.24e-02    7.5e-04
  25200      1.19e+00      2.68e-02      4.35e-02    7.5e-04
  25300      1.58e+00      2.71e-02      5.78e-02    7.5e-04
  25400      1.67e+00      2.39e-02      6.11e-02    7.5e-04
  25500      1.17e+00      2.39e-02      4.27e-02    7.5e-04
  25600      1.33e+00      2.20e-02      4.84e-02    7.5e-04
  25700      1.03e+00      2.53e-02      3.77e-02    7.5e-04
  25800      1.57e+00      8.93e-03      5.73e-02    7.5e-04
  25900      1.66e+00      1.44e-02      6.08e-02    7.5e-04
  26000      1.09e+00      1.37e-02      3.97e-02    7.5e-04
  26100      1.29e+00      4.51e-02      4.70e-02    7.5e-04
  26200      1.46e+00      1.23e-02      5.34e-02    7.5e-04
  26300      1.32e+00      1.81e-02      4.81e-02    7.5e-04
  26400      9.58e-01      2.47e-02      3.49e-02    7.5e-04
  26500      1.28e+00      2.76e-02      4.68e-02    7.5e-04
  26600      2.14e+00      1.31e-02      7.81e-02    7.5e-04
  26700      1.34e+00      1.68e-02      4.91e-02    7.5e-04
  26800      2.30e+00      4.93e-02      8.40e-02    7.5e-04
  26900      1.90e+00      2.65e-02      6.94e-02    7.5e-04
  27000      1.31e+00      5.33e-02      4.78e-02    7.5e-04
  27100      2.09e+00      3.32e-02      7.64e-02    7.5e-04
  27200      1.32e+00      1.41e-02      4.83e-02    7.5e-04
  27300      1.24e+00      8.78e-03      4.52e-02    7.5e-04
  27400      1.22e+00      3.80e-02      4.45e-02    7.5e-04
  27500      1.19e+00      1.27e-02      4.35e-02    7.5e-04
  27600      2.18e+00      4.12e-02      7.97e-02    7.5e-04
  27700      1.70e+00      3.04e-02      6.22e-02    7.5e-04
  27800      1.70e+00      4.71e-02      6.19e-02    7.5e-04
  27900      1.17e+00      3.37e-02      4.28e-02    7.5e-04
  28000      1.15e+00      7.06e-03      4.21e-02    7.5e-04
  28100      1.17e+00      3.35e-02      4.28e-02    7.5e-04
  28200      1.13e+00      3.05e-02      4.11e-02    7.5e-04
  28300      1.56e+00      1.22e-02      5.70e-02    7.5e-04
  28400      1.01e+00      1.83e-02      3.70e-02    7.5e-04
  28500      1.19e+00      4.30e-02      4.35e-02    7.5e-04
  28600      1.22e+00      1.11e-02      4.47e-02    7.5e-04
  28700      2.20e+00      3.43e-02      8.04e-02    7.5e-04
  28800      2.32e+00      3.72e-02      8.46e-02    7.5e-04
  28900      1.48e+00      9.86e-03      5.40e-02    7.5e-04
  29000      9.48e-01      7.83e-03      3.46e-02    7.5e-04
  29100      1.33e+00      4.54e-02      4.87e-02    7.5e-04
  29200      1.88e+00      2.01e-02      6.85e-02    7.5e-04
  29300      1.06e+00      1.53e-02      3.88e-02    7.5e-04
  29400      1.26e+00      4.97e-02      4.60e-02    7.5e-04
  29500      1.06e+00      1.72e-02      3.88e-02    7.5e-04
  29600      1.95e+00      6.87e-02      7.11e-02    7.5e-04
  29700      1.27e+00      1.46e-02      4.63e-02    7.5e-04
  29800      1.56e+00      3.20e-02      5.69e-02    7.5e-04
  29900      1.56e+00      2.27e-02      5.71e-02    7.5e-04
  30000      1.18e+00      3.00e-02      4.42e-02    7.1e-04
  30100      1.22e+00      1.39e-02      4.58e-02    7.1e-04
  30200      1.27e+00      4.64e-02      4.77e-02    7.1e-04
  30300      1.61e+00      1.28e-02      6.05e-02    7.1e-04
  30400      1.39e+00      1.40e-02      5.23e-02    7.1e-04
  30500      1.31e+00      1.29e-02      4.91e-02    7.1e-04
  30600      1.12e+00      7.91e-03      4.21e-02    7.1e-04
